N;Kernel;Method;Setting;Time;MEM;Iterations;AUC
8000;Symmetric;Kernel;Setting 3;564.3044252619984;0.513048161;8;0.6879747540910748
8000;Symmetric;RLScore;Setting 4;0.0307007759984117;0.00201807;4;0.6696742398133053
8000;Symmetric;Kernel;Setting 4;572.3299260269996;0.513048137;4;0.6696742400866251
8000;MLPK;RLScore;Setting 1;2.466976183997758;0.005156532;63;0.7191522067687134
8000;MLPK;Kernel;Setting 1;621.6189960709999;0.513048025;63;0.7192061221032819
8000;MLPK;RLScore;Setting 2;1.9196645629999693;0.005156596;52;0.6009326281988565
8000;MLPK;Kernel;Setting 2;626.9181002719997;0.513048049;52;0.6008945876595668
8000;MLPK;RLScore;Setting 3;1.7341488849997404;0.005156404;50;0.5999906623384232
8000;MLPK;Kernel;Setting 3;646.3339961389975;0.513048049;50;0.600385173140044
8000;MLPK;RLScore;Setting 4;0.17858987499857903;0.00513827;5;0.4509374429392704
8000;MLPK;Kernel;Setting 4;653.8911076660006;0.513048137;5;0.450937412700368
16000;Linear;RLScore;Setting 1;0.31436432999907993;0.003879516;15;0.6549717985666248
16000;Linear;Kernel;Setting 1;1199.9971506500005;2.049943321;15;0.6549717985666248
16000;Linear;RLScore;Setting 2;0.4271239199988486;0.0038749;21;0.6416003627798732
16000;Linear;Kernel;Setting 2;1163.5382123559975;2.049943321;21;0.6416003670199615
16000;Linear;RLScore;Setting 3;0.4988470079988474;0.0038749;22;0.6402354246896413
16000;Linear;Kernel;Setting 3;1165.025182895999;2.049943321;22;0.6402354246414586
16000;Linear;RLScore;Setting 4;0.08751330100130872;0.003871304;4;0.6296378040230688
16000;Linear;Kernel;Setting 4;1202.0556726640025;2.049943345;4;0.6296378040232342
16000;Poly2D;RLScore;Setting 1;0.290037235005002;0.004644756;9;0.7152845729913263
16000;Poly2D;Kernel;Setting 1;2421.778381283002;2.049943345;9;0.7152844797132109
16000;Poly2D;RLScore;Setting 2;0.23778536100144265;0.004650226;8;0.6939013040125803
16000;Poly2D;Kernel;Setting 2;2415.741427572997;2.049943321;8;0.6939013095776962
16000;Poly2D;RLScore;Setting 3;0.3004082789993845;0.004649372;10;0.6928103910482425
16000;Poly2D;Kernel;Setting 3;2438.1109290499953;2.049943345;10;0.6928141259155636
16000;Poly2D;RLScore;Setting 4;0.3560459269938292;0.004649382;12;0.6732081807671212
16000;Poly2D;Kernel;Setting 4;2428.206000570004;2.049943345;12;0.6732004563267665
16000;Kronecker;RLScore;Setting 1;0.09360382900194963;0.002844358;9;0.7146735236031215
16000;Kronecker;Kernel;Setting 1;1155.4364658880004;2.049943433;9;0.7146734070054772
16000;Kronecker;RLScore;Setting 2;0.0891228710024734;0.002698471;9;0.6931827901173903
16000;Kronecker;Kernel;Setting 2;1167.0439552809985;2.049943457;9;0.6931826719168985
16000;Kronecker;RLScore;Setting 3;0.08778860599704785;0.002846534;9;0.6932129872633422
16000;Kronecker;Kernel;Setting 3;1154.3811222619988;2.049943457;9;0.6932128783139523
16000;Kronecker;RLScore;Setting 4;0.0643813099959516;0.002696375;6;0.6722113780410766
16000;Kronecker;Kernel;Setting 4;1167.3551203940006;2.049943457;6;0.6722113780424337
16000;Symmetric;RLScore;Setting 1;0.17295667999860598;0.00387491;9;0.7177819478834628
16000;Symmetric;Kernel;Setting 1;2419.4348496759994;2.049943457;9;0.7177857825881504
16000;Symmetric;RLScore;Setting 2;0.41132283900515176;0.003878524;20;0.6844326883819571
16000;Symmetric;Kernel;Setting 2;2348.6655072850044;2.049943321;20;0.6833019808885246
16000;Symmetric;RLScore;Setting 3;0.27556106300471583;0.003874846;14;0.6889036440528333
16000;Symmetric;Kernel;Setting 3;2392.5641055520027;2.049943321;14;0.6889036382901648
16000;Symmetric;RLScore;Setting 4;0.11933914699329762;0.003874948;6;0.6725817813490811
16000;Symmetric;Kernel;Setting 4;2353.535318028;2.049943321;6;0.6725817816224339
16000;MLPK;RLScore;Setting 1;8.489972634997685;0.010050932;92;0.7298752830633395
16000;MLPK;Kernel;Setting 1;2577.2857917360016;2.049943473;92;0.729846487219068
16000;MLPK;RLScore;Setting 2;4.4183763319961145;0.01006834;48;0.6119351176794664
16000;MLPK;Kernel;Setting 2;2566.676361924001;2.049943345;48;0.6105117671567071
16000;MLPK;RLScore;Setting 3;9.187812906995532;0.010069084;101;0.6004482655232698
16000;MLPK;Kernel;Setting 3;2539.541486738999;2.049943345;101;0.5998073787312204
16000;MLPK;RLScore;Setting 4;4.404743885999778;0.010068276;48;0.5536216820164115
16000;MLPK;Kernel;Setting 4;2553.020941320996;2.049943321;48;0.5520237268333307
32000;Linear;RLScore;Setting 1;1.9362994069961132;0.00758998;34;0.6775534368717431
32000;Linear;Kernel;Setting 1;4694.606905877998;8.195735089;34;0.6775541845256807
32000;Linear;RLScore;Setting 2;0.3237201849988196;0.007586163;6;0.6486230660296503
32000;Linear;Kernel;Setting 2;4647.405441506999;8.195735089;6;0.6486230661229744
32000;Linear;RLScore;Setting 3;0.5393353130057221;0.007581587;10;0.649574801523296
32000;Linear;Kernel;Setting 3;4597.959746549997;8.195735089;10;0.6495810944568527
32000;Linear;RLScore;Setting 4;0.155148466990795;0.007176511;2;0.6352717763729794
32000;Linear;Kernel;Setting 4;4669.062299312995;8.195479129;2;0.6352717763729794
