Kernel (domain);Kernel (Y);Kernel (pairwise);Setting;Test AUC
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;Kronecker;Setting 3;0.833311658996507
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;Kronecker;Setting 4;0.7824995900515008
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;Symmetric;Setting 1;0.9375026112489366
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;Symmetric;Setting 2;0.8405347025813691
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;Symmetric;Setting 3;0.8405345265106992
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;Symmetric;Setting 4;0.7849095332309358
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;MLPK;Setting 1;0.9133325827902562
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;MLPK;Setting 2;0.7353368187352669
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;MLPK;Setting 3;0.7357144092183301
Kd_Tanimoto-circular.txt;Kd_Tanimoto-shortestpath.txt;MLPK;Setting 4;0.6244233541508151
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;Linear;Setting 1;0.7025429727726293
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;Linear;Setting 2;0.683237225488106
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;Linear;Setting 3;0.6834477340969389
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;Linear;Setting 4;0.6568781276316704
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;Poly2D;Setting 1;0.8570944820643754
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;Poly2D;Setting 2;0.7952576131358438
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;Poly2D;Setting 3;0.7945783281944696
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;Poly2D;Setting 4;0.7200865912559822
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;Kronecker;Setting 1;0.8573246698566255
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;Kronecker;Setting 2;0.7997912801989878
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;Kronecker;Setting 3;0.8000220615238018
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;Kronecker;Setting 4;0.7280030279607512
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;Symmetric;Setting 1;0.9261105352420984
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;Symmetric;Setting 2;0.809785174763797
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;Symmetric;Setting 3;0.8097818921182912
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;Symmetric;Setting 4;0.7291067268755744
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;MLPK;Setting 1;0.8909463157812247
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;MLPK;Setting 2;0.6962962144478815
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;MLPK;Setting 3;0.6965581845428093
Kd_Tanimoto-circular.txt;Kd_Tanimoto-standard.txt;MLPK;Setting 4;0.6059960128067761
