Kernel (drug);Kernel (protein);Kernel (pairwise);Setting;Iteration;Train AUC;Test AUC
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;18;0.9175077861738975;0.8616025557582532
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;19;0.9202588536747509;0.8603001351603369
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;20;0.9224187681996505;0.8613675069201214
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;21;0.9234835532088539;0.8614195336321816
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;22;0.9246229470442369;0.8591072353183973
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;23;0.9254935993971655;0.8590216733160334
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;24;0.9270146335121228;0.8593253365885665
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;25;0.9259205689835034;0.8603460328889148
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;26;0.9276461200141715;0.8582473667948437
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;27;0.9288214654240482;0.8586833720004865
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;28;0.9290480903531173;0.8587614817161163
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;29;0.9304918696954811;0.8585242505884114
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;30;0.9310547090114204;0.8579233780486788
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;31;0.9317953096667754;0.8601236599029851
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;32;0.9315860066635555;0.8579912031442986
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;33;0.931844901463583;0.8558652119988688
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;34;0.9322372183021491;0.8594170740061058
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;35;0.9322601422125283;0.8594393496108456
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;36;0.9328009878931964;0.85983062948816
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;37;0.9337892107526666;0.8587289447072131
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;38;0.9333703162592741;0.8598645942716245
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;39;0.9344879197982073;0.8604209852494172
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;40;0.9343191307842866;0.8607048802286352
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;41;0.9335911231563154;0.8595111446162208
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;42;0.9335455943233332;0.8594635289150002
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;43;0.9337231269065747;0.8624639797435238
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;44;0.9347333014626843;0.8630873716543846
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;45;0.9349750687796106;0.8610067094492929
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;46;0.935172322686794;0.8592580918891098
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;47;0.9351616245230523;0.8588697836401504
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;48;0.9356505565317457;0.8585575769360966
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;49;0.9362569078137324;0.8571864490403927
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;50;0.9366483083567345;0.8548609641257828
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;51;0.936070635473773;0.8566997172100951
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;52;0.9364879655291083;0.8547985715382498
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;53;0.9371996539457934;0.8543911566476011
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;54;0.9376966457970206;0.8537496563764516
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;55;0.9376944522794846;0.8537416701252474
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;56;0.9376977959322292;0.8527080193825388
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;57;0.9378396730531358;0.8531635258992618
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;58;0.9378872085861119;0.8527411832192983
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;59;0.9381685532628912;0.8522320248812585
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;60;0.9381994328046581;0.8519191333097321
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;61;0.938663085985247;0.8519516471027888
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 2;62;0.9386485269256336;0.851912389106317
